n,sigma,aspect,RBE,RML,fk
2,3015.756994520613,1.9907407407407407,1292,1292,8
2,4952.542093460691,0.8957597173144877,1073,1073,25
2,8344.598642235587,7.404040404040404,832,832,11
2,8963.12787200986,1.2891566265060241,190,190,28
2,8864.901874809444,1.2987551867219918,1108,1108,14
2,8642.07424464752,0.16546762589928057,324,324,31
2,422.75783552762215,7.575757575757576,283,283,17
2,5463.244474440074,4.165137614678899,563,563,34
2,5180.107551972256,4.27536231884058,364,364,20
2,193.56701036075336,7.714285714285714,183,183,6
2,8534.468949501193,13.465116279069768,622,622,23
2,9391.573121021846,4.671568627450981,1157,1157,9
2,9214.49327147185,14.157894736842104,288,288,26
2,9038.831409535194,1.7529411764705882,702,702,12
2,6847.487586699227,0.743421052631579,2120,2120,29
2,6550.996985192407,0.41232227488151657,298,298,15
2,6024.881451115864,0.9627684964200477,4112,4112,32
2,6702.096705509403,0.9726027397260274,144,144,18
2,7815.469991465645,0.3403343334762109,3127,3127,35
2,7294.791373815978,0.1355263157894737,863,863,21
2,5927.894630473791,0.006868131868131868,1466,1466,7
2,5314.010273559885,9.866666666666667,163,163,24
2,1757.4667848923916,0.012706969580284944,2630,2630,10
2,1489.3510331684736,0.9228486646884273,648,648,27
2,2119.366532716793,0.8573117855735121,4712,4712,13
2,1668.9158719060706,15.03448275862069,465,465,30
2,3976.564432710729,1.2178557802365508,5813,5813,16
2,4563.536183706666,0.18,590,590,33
2,7405.708710177575,0.8276269185360094,1548,1548,19
2,7290.7673935944495,61.69230769230769,815,815,36
2,3927.4181325013,0.07497857754927163,2509,2509,22
2,3603.4842513878148,0.23275862068965517,286,286,8
2,1258.7412363150736,0.5784061696658098,4298,4298,25
2,1252.834461331584,1.0714285714285714,493,493,11
2,3176.50345309115,1.2654545454545454,5607,5607,28
2,3903.372035817237,3.0851063829787235,192,192,14
2,4898.9645334499,0.9677546205269367,5004,5004,31
2,5526.773787663106,1.4827586206896552,216,216,17
2,8002.881309253562,0.5414084507042254,2736,2736,34
2,7768.241194118525,3.032520325203252,496,496,20
2,5878.10211718034,6.079365079365079,446,446,6
2,7800.152097876041,0.3073836276083467,3258,3258,23
2,6936.856073719564,1.844311377245509,475,475,9
2,7348.544120266272,0.10726887791107975,1569,1569,26
2,6998.8070903190355,1.0538079470198676,2481,2481,12
3,7120.323939260067,1.2534908700322234,2098,2098,11
2,7156.046617197236,24.026315789473685,951,951,15
2,6815.322383240576,27.1,843,843,32
2,7400.83047282533,10.122222222222222,1001,1001,18
2,5953.832064309507,5.394557823129252,940,940,35
2,4989.02327615336,20.767441860465116,936,936,21
2,4489.451107874993,34.07692307692308,912,912,7
2,2582.771996808855,22.642857142857142,993,993,24
2,2228.502678369492,86.25,1047,1047,10
2,1668.6384232361424,7.3983739837398375,1033,1033,27
2,3630.217650155428,557.5,1117,1117,13
2,5593.34792409698,10.6,1276,1276,30
2,6909.7741777499505,38.96296296296296,1079,1079,16
2,5606.747586613829,3.9865771812080535,1486,1486,33
2,7774.405861543376,7.503597122302159,1182,1182,19
2,5840.102845840987,22.463414634146343,962,962,36
2,4820.800782805695,9.908333333333333,1309,1309,22
